,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
13,Grade 1 Gas Leak,,10B,EMER-1323838,Days & Weekends,National Grid,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,ROXBURY,BLUE HILL AV,14
14,Grade 1 Gas Leak / EMER-1323838,,10B,EMER-1323844,Days & Weekends,National Grid,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-13 00:00:00,1,1-877-304 12,ROXBURY,BLUE HILL AV,15
15,Grade 1 Gas Leak,,10B,EMER-1323841,Days & Weekends,National Grid,,,,516,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-13 00:00:00,1,1-877-304 12,ROXBURY,WARREN ST,16
16,Grade 1 Gas Leak,,10B,EMER-1323849,Days & Weekends,National Grid,,,,205,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,TOWNSEND ST,17
17,Grade 1 Gas Leak,,10B,EMER-1323847,Days & Weekends,National Grid,,,,277,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,WALNUT AV,18
18,Service Repair (Leak on Service),,10B,EMER-1424065,Days & Weekends,Boston Water & Sewer Commi,,,,29,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,ROXBURY,MAYWOOD ST,19
19,Grade 1 Gas Leak,,10B,EMER-1323852,Days & Weekends,National Grid,,,,67,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,1-877-304 12,ROXBURY,KEMBLE ST,20
20,Grade 1 Gas Leak,,10B,EMER-1323847,Days & Weekends,National Grid,,,,277,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,877-304-1203,ROXBURY,WALNUT AV,21
21,INSTALLATION OF CONDUIT,,10B,EXCA-1429412,Days & Weekends,Danella Line Co,75,,,145,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-01 00:00:00,1,800-446-8946,ROXBURY,HARRISHOF ST,22
22,INSTALLATION OF CONDUIT,,10B,EXCA-1431365,Days & Weekends,Danella Line Co,36,,,301,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Verizon,,SERVICE,2023-02-01 00:00:00,1,800-446-8946,ROXBURY,WARREN ST,23
23,CASTING REPAIR,,10B,EXCA-576354,Days & Weekends,P V Barone,,,,162,,ONGOING SECTIONS TOPPED TO GRADE,2023-04-15 00:00:00,,Comcast,,MAINTENANCE,2023-01-30 00:00:00,1,,ROXBURY,CENTRE ST,24
24,INSTALLATION OF CONDUIT,,10B,EXCA-1431083,Days & Weekends,Danella Line Co,183,,,188,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-01 00:00:00,1,800-446-8946,ROXBURY,HAROLD,25
25,GAS LEAK REPAIR,,10B,EMER-1323847,Days & Weekends,National Grid,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,COBDEN,National Grid,,EMERGENCY,2023-01-24 00:00:00,1,877-304-1203,ROXBURY,WALNUT AV,26
26,Grade 1 Gas Leak,,10B,EMER-1323877,Days & Weekends,National Grid,,,,48,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,877-304-1203,ROXBURY,DALE ST,27
27,Grade 1 Gas Leak,,10B,EMER-1323876,Days & Weekends,National Grid,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,877-304-1203,ROXBURY,BLUE HILL AV,28
28,Grade 1 Gas Leak,,10B,EMER-1323874,Days & Weekends,National Grid,,,,13,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,877-304-1203,ROXBURY,BLUE HILL AV,29
29,INSTALLATION OF CONDUIT,,10B,EXCA-1433425,Days & Weekends,Danella Line Co,132,,,22,70,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,BRADSTON ST,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-07 00:00:00,1,800-446-8946,ROXBURY,SOUTHAMPTON ST,30
30,Grade 1 Gas Leak,,10B,EMER-1333309,Days & Weekends,National Grid,,,,40,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,CRAWFORD ST,31
31,Grade 1 Gas Leak,,10B,EMER-1323879,Days & Weekends,National Grid,,,,13,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,BLUE HILL AV,32
32,Emergency - Cable Replacement,,10B,EMER-1160678,Days & Weekends,Eversource Electric,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,ROXBURY,MAGAZINE ST,33
33,Grade 1 Gas Leak,,10B,EMER-1333314,Days & Weekends,National Grid,,,,6,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,DIMOCK ST,34
34,Grade 1 Gas Leak,,10B,EMER-1333312,Days & Weekends,National Grid,,,,205,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,TOWNSEND ST,35
35,Grade 1 Gas Leak,,10B,EMER-1519120,Days & Weekends,National Grid,,,,320,,PLATES BERMED,2023-02-01 00:00:00,,National Grid,1,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,WARREN ST,36
36,Water Main Repair (Leak on Main),,10B,EMER-1426150,Days & Weekends,Boston Water & Sewer Commi,,,,300,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-01 00:00:00,1,1-617-989 70,ROXBURY,MARTIN LUTHER KING J BLVD,37
37,Grade 1 Gas Leak,,10B,EMER-1333316,Days & Weekends,National Grid,,,,2937,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,WASHINGTON ST,38
38,Sewer Repair (Broken Sewer),,10B,EMER-,Days & Weekends,Ronan 953 LLC,,,,79,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Ronan 953 LLC,,EMERGENCY,2023-02-01 00:00:00,1,1-671-510 10,ROXBURY,DEVON ST,39
39,INSTALLATION OF CONDUIT,,10B,EXCA-1433593,Days & Weekends,Danella Line Co,100,,,127,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-07 00:00:00,1,800-446-8946,ROXBURY,MAGNOLIA ST,40
40,INSTALLATION OF CONDUIT,,10B,EXCA-1433413,Days & Weekends,Danella Line Co,110,,,4,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-07 00:00:00,1,800-446-8946,ROXBURY,PEOPLE BAPTIST PL,41
41,Grade 1 Gas Leak,,10B,EMER-1333325,Days & Weekends,National Grid,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,DIMOCK ST,42
42,Grade 1 Gas Leak,,10B,EMER-1333321,Days & Weekends,National Grid,,,,17,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,GREENVILLE ST,43
43,Grade 1 Gas Leak,,10B,EMER-1333325,Days & Weekends,National Grid,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,DIMOCK ST,44
44,Grade 1 Gas Leak,,10B,EMER-1333321,Days & Weekends,National Grid,,,1,17,,PLATES PINNED & BERMED,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-01 00:00:00,1,1-877-304 12,ROXBURY,GREENVILLE ST,45
45,Grade 1 Gas Leak,,10B,EMER-1333333,Days & Weekends,National Grid,,,1,241,,PLATES PINNED & BERMED,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-04 00:00:00,1,1-877-304 12,ROXBURY,NORTHAMPTON ST,46
46,Dig in Doubt (Leak on Service),,10B,EMER-1426160,Days & Weekends,Boston Water & Sewer Commi,,,,179,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,ROXBURY,SCHOOL ST,47
47,Grade 1 Gas Leak,,10B,EMER-1333330,Days & Weekends,National Grid,,,,516,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-04 00:00:00,1,1-877-304 12,ROXBURY,WARREN ST,48
48,Grade 1 Gas Leak,,10B,EMER-1520055,Days & Weekends,National Grid,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,MORELAND ST,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,ROXBURY,BLUE HILL AV,49
49,Sewer Repair (Broken Sewer),,10B,EMER-000000,Days & Weekends,Hercules C & G Drain,,,,63,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Hercules C & G Drain,,EMERGENCY,2023-02-08 00:00:00,1,1-781-251 97,ROXBURY,CRAWFORD ST,50
50,Gas Stoppage,,10B,EMER-1333343,Days & Weekends,National Grid,,,,17,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,ROXBURY,GREENVILLE ST,51
51,SEWER REPAIR,,10B,EMER-0000000,Days & Weekends,Galway Excavation,,,,320,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,Galway Excavation,,EMERGENCY,2023-02-28 00:00:00,1,,ROXBURY,WARREN ST,52
52,,,10B,EXCA-1433421,Days & Weekends,Danella Line Co,,,,950,,,2023-02-07 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-07 00:00:00,1,800-446-8946,ROXBURY,TREMONT ST,53
53,,,10B,EXCA-1433609,Days & Weekends,National Grid,,,,971,,,2023-02-10 00:00:00,,National Grid,,MAINTENANCE,2023-02-10 00:00:00,1,877-304-1203,ROXBURY,TREMONT ST,54
54,Grade 1 Gas Leak,,10B,EMER-1364982,Days & Weekends,National Grid,,,,85,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,NATIONAL GRID,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,ROXBURY,BLUE HILL AV,55
55,Grade 1 Gas Leak,,10B,EMER-1436391,Days & Weekends,National Grid,,,,8,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,ROXBURY,WALNUT PK,56
56,SEWER REPAIR,,10B,EMER-0000000,Days & Weekends,Ronan 953 LLC,,,1,222,,,2023-02-15 00:00:00,,Ronan 953 LLC,,EMERGENCY,2023-02-15 00:00:00,1,617-510-1013,ROXBURY,NORTHAMPTON ST,57
57,,,10B,EXCA-1438027,Days & Weekends,MPS,,,,22,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8946,ROXBURY,ABBOTSFORD ST,58
58,Service Repair (Leak on Service),,10B,EMER-1436397,Days & Weekends,Metro Equipment Corp,,,,98,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-15 00:00:00,1,617-989-7000,ROXBURY,CRAWFORD ST,59
59,INSTALLATION OF WATER MAIN,,10B,EXCA-1433410,Days & Weekends,RJV Construction,210,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-24 00:00:00,LANGLY PARK,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-24 00:00:00,1,617-989-7000,ROXBURY,COPELAND ST,60
60,,,10B,,Days & Weekends,National Grid,,,5,,,PLATES PINNED & BERMED,2023-02-18 00:00:00,BLUE HILL AV,National Grid,,,2023-02-23 00:00:00,1,877-304-1203,ROXBURY,MORELAND ST,61
61,Leak Repair (Leak on Street),,10B,EMER-1436407,Days & Weekends,Boston Water & Sewer Commi,,,,74,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-22 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-23 00:00:00,1,617-989-7000,ROXBURY,GENEVA AV,62
62,Grade 1 Gas Leak,,10B,EMER-1364997,Days & Weekends,National Grid,,,,291,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-22 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,ROXBURY,WALNUT AV,63
63,INSTALLATION OF WATER MAIN,,10B,EXCA-1433410,Days & Weekends,RJV Construction,195,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-24 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-24 00:00:00,1,617-989-7000,ROXBURY,LANGFORD PK,64
64,INSTALLATION OF WATER MAIN,,10B,EXCA-1433410,Days & Weekends,RJV Construction,210,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-24 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-24 00:00:00,1,617-989-7000,ROXBURY,LANGFORD PARK,65
65,Grade 1 Gas Leak,,10B,EMER-1365021,Days & Weekends,National Grid,,,,584,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,877-304-1203,ROXBURY,DUDLEY ST ,66
66,Grade 1 Gas Leak,,10B,EMER-1365020,Days & Weekends,National Grid,,,,301,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,877-304-1203,ROXBURY,WARREN ST ,67
67,Grade 1 Gas Leak,,10B,EMER-1365028,Days & Weekends,National Grid,,,,301,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,WARREN ST,68
68,Water Main Repair (Leak on Main),,10B,EMER-,Days & Weekends,jet holding corp dba JET E,,,,71,,ONGOING SECTIONS TOPPED TO GRADE,,,John Rosette JET corp,,EMERGENCY,,1,1-781-385 11,ROXBURY,PROCTOR ST,69
69,Emergency - Cable Replacement,,10B,EMER-1436134,Days & Weekends,Riley Brother's and Badger,,,,28,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,ROXBURY,GASTON ST,70
70,Grade 1 Gas Leak,,10B,EMER-1376354,Days & Weekends,National Grid,,,,516,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,ROXBURY,WARREN ST,71
71,,,10B,EXCA-1441806,Days & Weekends,RJV Construction,,,,38,,,2023-03-18 00:00:00,,Boston Water & Sewer Commission,,,2023-03-18 00:00:00,,,ROXBURY,RAND ST,72
72,Service Repair,,10B,EMER-1442349,Days & Weekends,Metro Equipment,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Commission,,EMERGENCY,,1,,ROXBURY,HIGHLAND AV,73
73,,,10B,EXCA-1445293,Days & Weekends,Maverick Construction,,,,980,,,2023-04-06 00:00:00,,Boston Public Works,,MAINTENANCE,2023-04-06 00:00:00,1,617-799-5474,ROXBURY,MASSACHUSETTS AV,74
74,,,10B,EXCA-1446922,Days & Weekends,Danella Line Co,,,,2896,2906,,2023-03-31 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-31 00:00:00,1,800-446-8946,ROXBURY,WASHINGTON ST,75
75,,,10B,EXCA-1448566,Days & Weekends,Danella Line Co,,,,100,,,2023-04-09 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-04-09 00:00:00,1,800-446-8946,ROXBURY,MAGAZINE ST,76
76,,,10B,EXCA-1446986,Days & Weekends,Danella Line Co,,,,572,,,2023-03-31 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-31 00:00:00,1,800-446-8946,ROXBURY,WARREN ST,77
77,Grade 1 Gas Leak,,10A,EMER-1376370,Days & Weekends,NATIONAL GRID ,,,,429,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,MISIION HILL/FENWAY,BEACON ST,78
78,Grade 1 Gas Leak,,10A,EMER-1376356,Days & Weekends,National Grid,,,,600,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,MISSION HILL/FENWAY,PARKER ST,79
79,CUT AND CAP,,10A,EXCA-1432840,Days & Weekends,Tascon Corp,,,,80,100,NO START,2023-03-08 00:00:00,SMITH ST,Tascon Corp,,MAINTENANCE,2023-03-08 00:00:00,1,,MISSION HILL/FENWAY,ST ALPHONSUS ST,80
80,Water Main Repair (Leak on Main),,10A,EMER-1436425,Days & Weekends,Metro Equipment Corp,,,,1076,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,617-989-7000,MISSION HILL/FENWAY,BOYLSTON ST,81
81,,,10A,EXCA-1441989,Days & Weekends,Mirra Co,,,,13,,,2023-03-22 00:00:00,,Comcast,,MAINTENANCE,2023-03-22 00:00:00,1,978-758-0239,MISSION HILL/FENWAY,HAVILAND ST,82
82,Grade 1 Gas Leak,,10A,EMER-1376349,Days & Weekends,National Grid,,,,290,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,MISSION HILL/FENWAY,HUNTINGTON AV,83
83,GAS LEAK REPAIR,,10A,EXCA-1439960,Days & Weekends,National Grid,,,,555,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,KENMORE,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,NEWBURY,84
84,Maintenance,,10A,EXCA-1437998,Days & Weekends,Maverick Construction,,,,24,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-27 00:00:00,,Boston Public Works,,,2023-02-27 00:00:00,1,857-472-0105,MISSION HILL/FENWAY,JERSEY ST,85
85,Maintenance,,10A,EXCA-1409809,Days & Weekends,National Grid,,,,223,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,,2023-03-16 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,HEATH ST,86
86,GAS LEAK REPAIR,,10A,EXCA-1439927,Days & Weekends,National Grid,,,,1111,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,MAINTENANCE,2023-03-15 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,BOYLSTON ST,87
87,ISNTALLATIN OF WATER MAINS,,10A,EXCA-1381919,Days & Weekends,RJV Construction,,,,12,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-08 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-15 00:00:00,1,617-989-7000,MISSION HILL/FENWAY,HEMENWAY ST,88
88,Grade 1 Gas Leak,,10A,EMER-1364990,Days & Weekends,National Grid,,,,1090,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,EMERGENCY,2023-02-16 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,BOYLSTON ST,89
89,Grade 1 Gas Leak,,10A,EMER1397118,Days & Weekends,National Grid,,,,45,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,HEMENWAY ST,90
90,Emergency - Cable Repair,,10A,EMER-1358829,Days & Weekends,Riley Brothers,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,GRANBY ST,Eversource Electric,,EMERGENCY,2023-02-10 00:00:00,1,800-592-2000,MISSION HILL/FENWAY,COMMONWEALTH AV,91
91,,,10A,EXCA-1436887,Days & Weekends,Danella Line Co,,,,188,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,BAYSTATE RD,92
92,,,10A,EXCA-1436846,Days & Weekends,Danella Line Co,,,,174,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,IPSWICH ST,93
93,,,10A,EXCA-1436825,Days & Weekends,Danella Line Co,,,,8,,,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,BURNEY ST,94
94,Sewer Repair (Broken Sewer),,10A,EMER-000000,Days & Weekends,A&R Excavating,,,,118,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,A&R Excavating,,EMERGENCY,2023-02-09 00:00:00,1,1-627-293 43,MISSION HILL/FENWAY,HEMENWAY ST,95
95,Emergency - Cable Replacement,,10A,EMER-1358828,Days & Weekends,Eversource Electric,,,,145,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-09 00:00:00,1,1-800-592 20,MISSION HILL/FENWAY,IPSWICH ST,96
96,TEST PITS,,10A,EXCA-1436855,Days & Weekends,Feeney Brothers Excavation,,,,0,,IDLE,2023-03-22 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-22 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,JERSEY ST,97
97,Casting Repair - Public Safety Concern,,10A,EMER-1397116,Days & Weekends,P V Barone,,,,132,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Comcast,,EMERGENCY,2023-02-04 00:00:00,1,1-857-919 93,MISSION HILL/FENWAY,BROOKLINE AV,98
98,Casting Repair - Public Safety Concern,,10A,EMER-1164614,Days & Weekends,Danella Line Services Comp,,,,15,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Verizon,,EMERGENCY,2023-02-04 00:00:00,1,1-800-446 89,MISSION HILL/FENWAY,HEMENWAY ST,99
